,income,income_index,disparity,capacity,workload,total,actual,actual_avg
84,1.6681005372000591e-06,1,1,14.563484775012444,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
85,1.6681005372000591e-06,1,1,19.306977288832496,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
86,1.6681005372000591e-06,1,1,25.595479226995334,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
87,1.6681005372000591e-06,1,1,33.9322177189533,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
88,1.6681005372000591e-06,1,1,44.98432668969444,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
89,1.6681005372000591e-06,1,1,59.636233165946365,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
90,1.6681005372000591e-06,1,1,79.06043210907701,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
91,1.6681005372000591e-06,1,1,104.81131341546852,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
92,1.6681005372000591e-06,1,1,138.9495494373136,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
93,1.6681005372000591e-06,1,1,184.20699693267164,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
94,1.6681005372000591e-06,1,1,244.205309454865,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
95,1.6681005372000591e-06,1,1,323.745754281764,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
96,1.6681005372000591e-06,1,1,429.1934260128778,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
97,1.6681005372000591e-06,1,1,568.9866029018293,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
98,1.6681005372000591e-06,1,1,754.3120063354608,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
99,1.6681005372000591e-06,1,1,1000.0,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
100,2.782559402207126e-06,2,1,0.001,2.782559402207126e-06,87.75079330800368,47.07496988614089,1.4927375027315097e-06
101,2.782559402207126e-06,2,1,0.0013257113655901094,2.782559402207126e-06,87.75079330800368,47.5614586592259,1.5081639605284723e-06
102,2.782559402207126e-06,2,1,0.0017575106248547913,2.782559402207126e-06,87.75079330800368,48.12411999594629,1.5260058344731825e-06
103,2.782559402207126e-06,2,1,0.002329951810515372,2.782559402207126e-06,87.75079330800368,48.77311023812001,1.5465851800520044e-06
104,2.782559402207126e-06,2,1,0.0030888435964774815,2.782559402207126e-06,87.75079330800368,49.52467953265625,1.5704172860431333e-06
105,2.782559402207126e-06,2,1,0.004094915062380427,2.782559402207126e-06,87.75079330800368,50.39507802646384,1.598017441224754e-06
106,2.782559402207126e-06,2,1,0.005428675439323859,2.782559402207126e-06,87.75079330800368,51.40461840317878,1.630029756569596e-06
107,2.782559402207126e-06,2,1,0.0071968567300115215,2.782559402207126e-06,87.75079330800368,52.580722785709725,1.6673237818908462e-06
108,2.782559402207126e-06,2,1,0.009540954763499945,2.782559402207126e-06,87.75079330800368,53.95487583369284,1.7108978891962468e-06
109,2.782559402207126e-06,2,1,0.012648552168552958,2.782559402207126e-06,87.75079330800368,55.56871854858211,1.7620725059798995e-06
110,2.782559402207126e-06,2,1,0.016768329368110083,2.782559402207126e-06,87.75079330800368,57.481157712922354,1.8227155540627332e-06
111,2.782559402207126e-06,2,1,0.022229964825261943,2.782559402207126e-06,87.75079330800368,59.77445969543961,1.8954356828843104e-06
112,2.782559402207126e-06,2,1,0.029470517025518096,2.782559402207126e-06,87.75079330800368,62.57456313467819,1.9842263804755895e-06
113,2.782559402207126e-06,2,1,0.03906939937054617,2.782559402207126e-06,87.75079330800368,66.1061318767711,2.096211690663721e-06
114,2.782559402207126e-06,2,1,0.0517947467923121,2.782559402207126e-06,87.75079330800368,70.84729032124079,2.2465528386999237e-06
115,2.782559402207126e-06,2,1,0.06866488450043001,2.782559402207126e-06,87.75079330800368,78.60168234236001,2.492442996650178e-06
116,2.782559402207126e-06,2,1,0.09102981779915217,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
117,2.782559402207126e-06,2,1,0.1206792640639329,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
118,2.782559402207126e-06,2,1,0.15998587196060574,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
119,2.782559402207126e-06,2,1,0.21209508879201905,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
120,2.782559402207126e-06,2,1,0.28117686979742307,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
121,2.782559402207126e-06,2,1,0.3727593720314938,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
122,2.782559402207126e-06,2,1,0.49417133613238334,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
123,2.782559402207126e-06,2,1,0.655128556859551,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
