#time,"""value"" from seq_no"
2018-03-31T20:46:37.783Z,134803
2018-03-31T20:46:43.694Z,134804
2018-03-31T20:46:55.534Z,134806
2018-03-31T20:47:01.509Z,134807
2018-03-31T20:47:01.511Z,134807
2018-03-31T20:47:07.465Z,134808
2018-03-31T20:47:07.466Z,134808
2018-03-31T20:47:13.402Z,134809
2018-03-31T20:47:13.419Z,134809
2018-03-31T20:47:19.494Z,134810
2018-03-31T20:47:25.526Z,134811
2018-03-31T20:47:25.555Z,134811
2018-03-31T20:47:25.563Z,134811
2018-03-31T20:47:25.582Z,134811
2018-03-31T20:47:31.618Z,134812
2018-03-31T20:47:31.621Z,134812
2018-03-31T20:47:37.686Z,134813
2018-03-31T20:47:37.691Z,134813
2018-03-31T20:47:49.616Z,134815
2018-03-31T20:47:49.652Z,134815
2018-03-31T20:47:49.655Z,134815
2018-03-31T20:47:55.669Z,134816
2018-03-31T20:47:55.672Z,134816
2018-03-31T20:48:01.554Z,134817
2018-03-31T20:48:01.556Z,134817
2018-03-31T20:48:01.599Z,134817
2018-03-31T20:48:01.607Z,134817
2018-03-31T20:48:07.578Z,134818
2018-03-31T20:48:13.416Z,134819
2018-03-31T20:48:13.42Z,134819
2018-03-31T20:48:19.27Z,134820
2018-03-31T20:48:31.051Z,134822
2018-03-31T20:48:31.054Z,134822
2018-03-31T20:48:36.873Z,134823
2018-03-31T20:48:42.889Z,134824
2018-03-31T20:48:42.922Z,134824
2018-03-31T20:48:42.929Z,134824
2018-03-31T20:48:48.894Z,134825
2018-03-31T20:48:54.741Z,134826
2018-03-31T20:49:00.603Z,134827
2018-03-31T20:49:06.411Z,134828
2018-03-31T20:49:06.413Z,134828
2018-03-31T20:49:12.239Z,134829
2018-03-31T20:49:12.242Z,134829
2018-03-31T20:49:18.111Z,134830
2018-03-31T20:49:18.142Z,134830
2018-03-31T20:49:18.146Z,134830
2018-03-31T20:49:24.074Z,134831
2018-03-31T20:49:30.038Z,134832
2018-03-31T20:49:30.042Z,134832
2018-03-31T20:49:35.822Z,134833
2018-03-31T20:49:35.825Z,134833
2018-03-31T20:49:35.861Z,134833
2018-03-31T20:49:41.776Z,134834
2018-03-31T20:49:41.81Z,134834
2018-03-31T20:49:53.594Z,134836
2018-03-31T20:50:05.315Z,134838
2018-03-31T20:50:05.319Z,134838
2018-03-31T20:50:05.355Z,134838
2018-03-31T20:50:11.266Z,134839
2018-03-31T20:50:11.268Z,134839
2018-03-31T20:50:11.302Z,134839
2018-03-31T20:50:17.243Z,134840
2018-03-31T20:50:17.246Z,134840
2018-03-31T20:50:23.022Z,134841
2018-03-31T20:50:23.025Z,134841
2018-03-31T20:50:28.913Z,134842
2018-03-31T20:50:28.917Z,134842
2018-03-31T20:50:28.95Z,134842
2018-03-31T20:50:28.952Z,134842
2018-03-31T20:50:34.912Z,134843
2018-03-31T20:50:40.812Z,134844
2018-03-31T20:50:40.816Z,134844
2018-03-31T20:50:46.582Z,134845
2018-03-31T20:50:46.584Z,134845
2018-03-31T20:50:46.62Z,134845
2018-03-31T20:50:52.552Z,134846
2018-03-31T20:50:52.585Z,134846
2018-03-31T20:50:52.587Z,134846
2018-03-31T20:50:58.527Z,134847
2018-03-31T20:51:04.459Z,134848
2018-03-31T20:51:04.492Z,134848
2018-03-31T20:51:16.402Z,134850
2018-03-31T20:51:16.405Z,134850
2018-03-31T20:51:22.163Z,134851
2018-03-31T20:51:22.166Z,134851
2018-03-31T20:51:22.199Z,134851
2018-03-31T20:51:33.897Z,134853
2018-03-31T20:51:33.901Z,134853
2018-03-31T20:51:39.748Z,134854
2018-03-31T20:51:51.361Z,134856
2018-03-31T20:51:51.393Z,134856
2018-03-31T20:51:51.396Z,134856
2018-03-31T20:51:57.263Z,134857
2018-03-31T20:52:03.014Z,134858
2018-03-31T20:52:03.016Z,134858
2018-03-31T20:52:08.912Z,134859
2018-03-31T20:52:08.915Z,134859
2018-03-31T20:52:08.95Z,134859
2018-03-31T20:52:14.842Z,134860
2018-03-31T20:52:14.844Z,134860
2018-03-31T20:52:20.768Z,134861
2018-03-31T20:52:20.772Z,134861
2018-03-31T20:52:26.635Z,134862
2018-03-31T20:52:26.637Z,134862
2018-03-31T20:52:26.67Z,134862
2018-03-31T20:52:26.674Z,134862
2018-03-31T20:52:38.397Z,134864
2018-03-31T20:52:38.4Z,134864
2018-03-31T20:52:38.436Z,134864
2018-03-31T20:52:44.213Z,134865
2018-03-31T20:52:49.983Z,134866
2018-03-31T20:52:49.988Z,134866
2018-03-31T20:52:50.01Z,134866
2018-03-31T20:52:50.014Z,134866
2018-03-31T20:52:55.743Z,134867
2018-03-31T20:52:55.746Z,134867
2018-03-31T20:52:55.778Z,134867
2018-03-31T20:53:01.662Z,134868
2018-03-31T20:53:01.665Z,134868
2018-03-31T20:53:07.397Z,134869
2018-03-31T20:53:13.186Z,134870
2018-03-31T20:53:13.188Z,134870
2018-03-31T20:53:13.222Z,134870
